Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2020-01-02,152.15838623046875,160.6199951171875,160.72999572753906,158.3300018310547,158.77999877929688,22622100,MSFT
2020-01-03,150.2637939453125,158.6199951171875,159.9499969482422,158.05999755859375,158.32000732421875,21116200,MSFT
2020-01-06,150.6521759033203,159.02999877929688,159.10000610351562,156.50999450683594,157.0800018310547,20813700,MSFT
2020-01-07,149.27857971191406,157.5800018310547,159.6699981689453,157.32000732421875,159.32000732421875,21634100,MSFT
2020-01-08,151.6563262939453,160.08999633789062,160.8000030517578,157.9499969482422,158.92999267578125,27746500,MSFT
2020-01-09,153.5509490966797,162.08999633789062,162.22000122070312,161.02999877929688,161.83999633789062,21385000,MSFT
2020-01-10,152.8404998779297,161.33999633789062,163.22000122070312,161.17999267578125,162.82000732421875,20725900,MSFT
2020-01-13,154.67825317382812,163.27999877929688,163.30999755859375,161.25999450683594,161.75999450683594,21626500,MSFT
2020-01-14,153.5889129638672,162.1300048828125,163.60000610351562,161.72000122070312,163.38999938964844,23477400,MSFT
2020-01-15,154.58352661132812,163.17999267578125,163.94000244140625,162.57000732421875,162.6199951171875,21417900,MSFT
2020-01-16,157.41603088378906,166.1699981689453,166.24000549316406,164.02999877929688,164.35000610351562,23865400,MSFT
2020-01-17,158.29705810546875,167.10000610351562,167.47000122070312,165.42999267578125,167.4199981689453,34371700,MSFT
2020-01-21,157.72862243652344,166.5,168.19000244140625,166.42999267578125,166.67999267578125,29517200,MSFT
2020-01-22,156.9707794189453,165.6999969482422,167.49000549316406,165.67999267578125,167.39999389648438,24138800,MSFT
2020-01-23,157.93710327148438,166.72000122070312,166.8000030517578,165.27000427246094,166.19000244140625,19680800,MSFT
2020-01-24,156.3455352783203,165.0399932861328,167.52999877929688,164.4499969482422,167.50999450683594,24918100,MSFT
2020-01-27,153.73092651367188,162.27999877929688,163.3800048828125,160.1999969482422,161.14999389648438,32078100,MSFT
