Date,aapl,tsla,msft,gold,spy,amzn
2020-01-02,72.40049743652344,28.68400001525879,152.15838623046875,1524.5,297.698974609375,94.90049743652344
2020-01-03,71.69662475585938,29.53400039672852,150.2637939453125,1549.199951171875,295.4447631835937,93.74849700927734
2020-01-06,72.26793670654297,30.1026668548584,150.6521759033203,1566.199951171875,296.5718688964844,95.1439971923828
2020-01-07,71.92804718017578,31.270666122436523,149.27857971191406,1571.800048828125,295.7380065917969,95.34300231933594
2020-01-08,73.08509063720703,32.80933380126953,151.6563262939453,1557.4000244140625,297.31414794921875,94.59850311279295
2020-01-09,74.63750457763672,32.089332580566406,153.5509490966797,1551.699951171875,299.330078125,95.05249786376952
2020-01-10,74.80622100830078,31.87666702270508,152.8404998779297,1557.5,298.4687194824219,94.15799713134766
2020-01-13,76.4044189453125,34.990665435791016,154.67825317382812,1548.4000244140625,300.5213317871094,94.56500244140624
2020-01-14,75.37271118164062,35.861331939697266,153.5889129638672,1542.4000244140625,300.06317138671875,93.47200012207033
2020-01-15,75.04969787597656,34.56666564941406,154.58352661132812,1552.0999755859375,300.7413330078125,93.10099792480467
2020-01-16,75.98979187011719,34.232666015625,157.41603088378906,1549.0,303.24298095703125,93.89700317382812
2020-01-17,76.8310775756836,34.03333282470703,158.29705810546875,1558.800048828125,304.1868591308594,93.23600006103516
2020-01-21,76.3104248046875,36.47999954223633,157.72862243652344,1556.4000244140625,303.5912475585937,94.5999984741211
2020-01-22,76.58280944824219,37.97066879272461,156.9707794189453,1555.300048828125,303.6278686523437,94.3730010986328
2020-01-23,76.95162200927734,38.14666748046875,157.93710327148438,1564.5999755859375,303.97607421875,94.22899627685548
2020-01-24,76.72985076904297,37.654666900634766,156.3455352783203,1571.0999755859375,301.2728576660156,93.08200073242188
2020-01-27,74.47357177734375,37.20133209228516,153.73092651367188,1576.800048828125,296.4435729980469,91.41699981689452
2020-01-28,76.58037567138672,37.79333114624024,156.74343872070312,1569.199951171875,299.5499572753906,92.6624984741211
2020-01-29,78.18341827392578,38.732666015625,159.18751525878906,1569.800048828125,299.30255126953125,92.9000015258789
2020-01-30,78.07009887695312,42.72066879272461,163.67776489257812,1583.5,300.27398681640625,93.53399658203124
2020-01-31,74.60858917236328,43.37133407592773,161.2621307373047,1582.9000244140625,294.8215637207031,100.43599700927734
2020-02-03,74.40367889404297,52.0,165.19351196289062,1577.199951171875,297.0116882324219,100.20999908447266
2020-02-04,76.86001586914062,59.137332916259766,170.63111877441406,1550.4000244140625,301.5386047363281,102.4834976196289
2020-02-05,77.48675537109375,48.97999954223633,170.4227294921875,1557.800048828125,305.0207214355469,101.99349975585938
2020-02-06,78.39312744140625,49.93066787719727,173.9562225341797,1565.0999755859375,306.04705810546875,102.5114974975586
2020-02-07,77.32752990722656,49.87133407592773,174.2025146484375,1568.5999755859375,304.416015625,103.96399688720705
2020-02-10,77.69481658935547,51.41866683959961,178.75912475585938,1574.699951171875,306.68853759765625,106.69550323486328
2020-02-11,77.22606658935547,51.62533187866211,174.72352600097656,1565.5999755859375,307.2200622558594,107.54000091552734
2020-02-12,79.06000518798828,51.15266799926758,174.97927856445312,1567.4000244140625,309.1993713378906,108.0
2020-02-13,78.49699401855469,53.59999847412109,174.03199768066406,1575.0999755859375,308.8694763183594,107.49349975585938
2020-02-14,78.51634979248047,53.33533477783203,175.58558654785156,1582.699951171875,309.3643798828125,106.74349975585938
2020-02-18,77.07866668701172,57.22666549682617,177.36656188964844,1600.0,308.5670471191406,107.78350067138672
2020-02-19,78.19496154785156,61.16133117675781,177.89854431152344,1607.5,310.0424194335937,108.51100158691406
2020-02-20,77.39277648925781,59.96066665649414,175.1817626953125,1616.5999755859375,308.7686462402344,107.65499877929688
2020-02-21,75.6409912109375,60.06666564941406,169.64382934570312,1644.5999755859375,305.58892822265625,104.79850006103516
2020-02-24,72.04798889160156,55.58599853515625,162.32955932617188,1672.4000244140625,295.453857421875,100.4645004272461
2020-02-25,69.60758209228516,53.32733154296875,159.6508331298828,1646.9000244140625,286.5010070800781,98.63700103759766
2020-02-26,70.71183013916016,51.91999816894531,161.6456298828125,1640.0,285.4471435546875,98.97949981689452
2020-02-27,66.08952331542969,45.26666641235352,150.2562255859375,1640.0,272.6273498535156,94.21499633789062
2020-02-28,66.05084228515625,44.53266525268555,153.89437866210938,1564.0999755859375,271.4818420410156,94.1875
2020-03-02,72.20022583007812,49.574668884277344,164.13436889648438,1592.300048828125,283.2388000488281,97.69750213623048
2020-03-03,69.9072265625,49.70066833496094,156.26914978027344,1642.0999755859375,275.12890625,95.44950103759766
2020-03-04,73.14982604980469,49.96666717529297,162.006591796875,1641.0999755859375,286.69342041015625,98.79149627685548
2020-03-05,70.77706909179688,48.30266571044922,157.94097900390625,1666.4000244140625,277.1632385253906,96.20149993896484
2020-03-06,69.8371353149414,46.89866638183594,153.47640991210938,1670.800048828125,272.5814819335937,95.05449676513672
2020-03-09,64.31355285644531,40.53333282470703,143.07493591308594,1674.5,251.2943115234375,90.03050231933594
2020-03-10,68.94554901123047,43.02199935913086,152.85894775390625,1659.0999755859375,264.2975158691406,94.59100341796876
2020-03-11,66.551025390625,42.28200149536133,145.9341278076172,1641.4000244140625,251.41339111328125,91.04299926757812
2020-03-12,59.97880172729492,37.369998931884766,132.093994140625,1589.300048828125,227.35891723632807,83.83049774169922
2020-03-13,67.16474151611328,36.44133377075195,150.87367248535156,1515.699951171875,246.7950439453125,89.25
2020-03-16,58.52421951293945,29.67133331298828,128.63633728027344,1485.9000244140625,219.78976440429688,84.4574966430664
2020-03-17,61.09753036499024,28.68000030517578,139.22781372070312,1524.9000244140625,231.6566619873047,90.39199829101562
2020-03-18,59.601863861083984,24.08133316040039,133.36688232421875,1477.300048828125,219.9272003173828,91.5
2020-03-19,59.14519119262695,28.50933265686035,135.56118774414062,1478.5999755859375,220.39456176757807,94.04650115966795
2020-03-20,55.39033889770508,28.50200080871582,130.46966552734375,1484.0,210.8968200683593,92.30449676513672
2020-03-23,54.21361541748047,28.952667236328125,129.16827392578125,1567.0,205.5045928955078,95.1415023803711
2020-03-24,59.65260696411133,33.66666793823242,140.90914916992188,1660.199951171875,224.12399291992188,97.00499725341795
2020-03-25,59.32399368286133,35.95000076293945,139.56027221679688,1632.300048828125,227.47911071777344,94.29199981689452
2020-03-26,62.44580459594727,35.21066665649414,148.28988647460938,1650.0999755859375,240.76161193847656,97.77449798583984
2020-03-27,59.86040878295898,34.29066848754883,142.20101928710938,1623.9000244140625,233.59034729003903,95.00499725341795
